Sat Sep 30 04:57:06 2023||0.758 0.275 0.591 -0.959 -0.184 0.202
Sat Sep 30 04:57:06 2023||0.759 0.262 0.607 -0.968 -0.196 0.199
Sat Sep 30 04:57:06 2023||0.758 0.272 0.594 -0.968 -0.182 0.187
Sat Sep 30 04:57:06 2023||0.746 0.261 0.602 -0.948 -0.185 0.184
Sat Sep 30 04:57:06 2023||0.749 0.266 0.604 -0.917 -0.182 0.169
Sat Sep 30 04:57:06 2023||0.747 0.269 0.606 -0.954 -0.185 0.202
Sat Sep 30 04:57:06 2023||0.757 0.270 0.605 -0.950 -0.193 0.203
Sat Sep 30 04:57:06 2023||0.752 0.267 0.602 -0.959 -0.196 0.207
Sat Sep 30 04:57:06 2023||0.752 0.272 0.602 -0.958 -0.198 0.201
Sat Sep 30 04:57:07 2023||0.747 0.268 0.594 -0.937 -0.189 0.192
Sat Sep 30 04:57:07 2023||0.750 0.280 0.593 -0.903 -0.181 0.187
Sat Sep 30 04:57:07 2023||0.766 0.280 0.599 -0.966 -0.195 0.195
Sat Sep 30 04:57:07 2023||0.763 0.276 0.593 -0.959 -0.188 0.190
Sat Sep 30 04:57:07 2023||0.776 0.286 0.585 -0.956 -0.189 0.197
Sat Sep 30 04:57:07 2023||0.765 0.288 0.581 -0.945 -0.198 0.166
Sat Sep 30 04:57:07 2023||0.764 0.277 0.572 -0.933 -0.187 0.169
Sat Sep 30 04:57:07 2023||0.766 0.285 0.578 -0.953 -0.189 0.170
Sat Sep 30 04:57:07 2023||0.769 0.299 0.579 -0.957 -0.191 0.203
Sat Sep 30 04:57:07 2023||0.757 0.283 0.578 -0.949 -0.200 0.198
Sat Sep 30 04:57:07 2023||0.756 0.286 0.593 -0.941 -0.187 0.190
Sat Sep 30 04:57:07 2023||0.774 0.281 0.616 -0.968 -0.189 0.192
Sat Sep 30 04:57:07 2023||0.779 0.276 0.566 -0.976 -0.196 0.177
Sat Sep 30 04:57:08 2023||0.783 0.280 0.553 -0.949 -0.208 0.134
Sat Sep 30 04:57:08 2023||0.789 0.275 0.534 -0.938 -0.183 0.145
Sat Sep 30 04:57:08 2023||0.780 0.277 0.535 -0.968 -0.198 0.137
Sat Sep 30 04:57:08 2023||0.781 0.277 0.538 -0.944 -0.193 0.137
Sat Sep 30 04:57:08 2023||0.779 0.271 0.550 -0.944 -0.188 0.116
Sat Sep 30 04:57:08 2023||0.784 0.271 0.550 -0.959 -0.180 0.135
Sat Sep 30 04:57:08 2023||0.771 0.258 0.558 -0.962 -0.190 0.159
Sat Sep 30 04:57:08 2023||0.779 0.262 0.567 -0.945 -0.189 0.138
Sat Sep 30 04:57:08 2023||0.773 0.267 0.576 -0.944 -0.191 0.128
Sat Sep 30 04:57:08 2023||0.761 0.273 0.567 -0.957 -0.193 0.154
Sat Sep 30 04:57:08 2023||0.763 0.266 0.579 -0.954 -0.190 0.168
Sat Sep 30 04:57:08 2023||0.767 0.286 0.556 -0.963 -0.191 0.171
Sat Sep 30 04:57:09 2023||0.761 0.258 0.599 -0.931 -0.193 0.158
Sat Sep 30 04:57:09 2023||0.755 0.264 0.590 -0.920 -0.191 0.170
Sat Sep 30 04:57:09 2023||0.759 0.278 0.593 -0.958 -0.195 0.184
Sat Sep 30 04:57:09 2023||0.764 0.294 0.598 -0.951 -0.192 0.206
Sat Sep 30 04:57:09 2023||0.764 0.283 0.604 -0.959 -0.192 0.178
Sat Sep 30 04:57:09 2023||0.763 0.286 0.606 -0.957 -0.187 0.187
Sat Sep 30 04:57:09 2023||0.751 0.279 0.604 -0.945 -0.185 0.200
Sat Sep 30 04:57:09 2023||0.751 0.285 0.594 -0.960 -0.187 0.200
Sat Sep 30 04:57:09 2023||0.766 0.301 0.598 -0.962 -0.184 0.229
Sat Sep 30 04:57:09 2023||0.744 0.277 0.628 -0.956 -0.187 0.214
Sat Sep 30 04:57:09 2023||0.740 0.275 0.616 -0.954 -0.197 0.218
Sat Sep 30 04:57:09 2023||0.756 0.310 0.639 -0.962 -0.185 0.232
Sat Sep 30 04:57:10 2023||0.732 0.275 0.593 -0.982 -0.195 0.228
Sat Sep 30 04:57:10 2023||0.747 0.281 0.619 -0.949 -0.172 0.228
Sat Sep 30 04:57:10 2023||0.717 0.242 0.563 -0.932 -0.187 0.206
Sat Sep 30 04:57:10 2023||0.781 0.289 0.642 -0.947 -0.179 0.197
Sat Sep 30 04:57:10 2023||0.733 0.286 0.580 -0.960 -0.193 0.194
Sat Sep 30 04:57:10 2023||0.738 0.254 0.554 -0.953 -0.195 0.199
Sat Sep 30 04:57:10 2023||0.780 0.304 0.584 -0.955 -0.186 0.201
Sat Sep 30 04:57:10 2023||0.743 0.281 0.591 -0.945 -0.187 0.185
Sat Sep 30 04:57:10 2023||0.774 0.275 0.594 -0.938 -0.183 0.183
Sat Sep 30 04:57:10 2023||0.773 0.300 0.595 -0.938 -0.187 0.204
Sat Sep 30 04:57:10 2023||0.715 0.226 0.559 -0.958 -0.195 0.204
Sat Sep 30 04:57:10 2023||0.771 0.343 0.613 -0.956 -0.187 0.228
Sat Sep 30 04:57:10 2023||0.735 0.278 0.605 -0.960 -0.193 0.214
Sat Sep 30 04:57:11 2023||0.767 0.298 0.592 -0.959 -0.190 0.194
Sat Sep 30 04:57:11 2023||0.759 0.266 0.588 -0.952 -0.191 0.167
Sat Sep 30 04:57:11 2023||0.759 0.262 0.568 -0.950 -0.189 0.162
Sat Sep 30 04:57:11 2023||0.785 0.270 0.563 -0.957 -0.196 0.159
Sat Sep 30 04:57:11 2023||0.752 0.267 0.558 -0.963 -0.190 0.175
Sat Sep 30 04:57:11 2023||0.781 0.273 0.565 -0.957 -0.194 0.149
Sat Sep 30 04:57:11 2023||0.775 0.263 0.573 -0.956 -0.195 0.148
Sat Sep 30 04:57:11 2023||0.783 0.270 0.573 -0.950 -0.193 0.158
Sat Sep 30 04:57:11 2023||0.776 0.268 0.584 -0.972 -0.190 0.164
Sat Sep 30 04:57:11 2023||0.785 0.251 0.588 -0.961 -0.183 0.167
Sat Sep 30 04:57:11 2023||0.769 0.245 0.574 -0.966 -0.187 0.178
Sat Sep 30 04:57:11 2023||0.760 0.248 0.602 -0.957 -0.189 0.168
Sat Sep 30 04:57:12 2023||0.761 0.249 0.610 -0.951 -0.175 0.165
Sat Sep 30 04:57:12 2023||0.765 0.260 0.598 -0.938 -0.183 0.159
Sat Sep 30 04:57:12 2023||0.770 0.261 0.580 -0.954 -0.191 0.164
Sat Sep 30 04:57:12 2023||0.772 0.266 0.574 -0.952 -0.195 0.167
Sat Sep 30 04:57:12 2023||0.782 0.277 0.589 -0.959 -0.199 0.179
Sat Sep 30 04:57:12 2023||0.769 0.259 0.574 -0.951 -0.187 0.159
Sat Sep 30 04:57:12 2023||0.783 0.269 0.580 -0.954 -0.197 0.159
Sat Sep 30 04:57:12 2023||0.763 0.263 0.581 -0.956 -0.183 0.174
Sat Sep 30 04:57:12 2023||0.763 0.256 0.595 -0.968 -0.187 0.173
Sat Sep 30 04:57:12 2023||0.769 0.277 0.601 -0.970 -0.192 0.193
Sat Sep 30 04:57:12 2023||0.759 0.266 0.596 -0.953 -0.196 0.186
Sat Sep 30 04:57:12 2023||0.763 0.278 0.589 -0.949 -0.199 0.168
Sat Sep 30 04:57:13 2023||0.767 0.294 0.570 -0.951 -0.195 0.169
Sat Sep 30 04:57:13 2023||0.759 0.285 0.587 -0.933 -0.180 0.190
Sat Sep 30 04:57:13 2023||0.768 0.283 0.601 -0.966 -0.193 0.201
Sat Sep 30 04:57:13 2023||0.758 0.277 0.604 -0.969 -0.187 0.200
Sat Sep 30 04:57:13 2023||0.779 0.277 0.576 -0.964 -0.200 0.158
Sat Sep 30 04:57:13 2023||0.804 0.284 0.551 -0.958 -0.196 0.118
